"datetime_id","date_id","date","hour","volume_of_ISSR","num_of_ISSR","floor","ceiling","south_id","north_id","south","north","west_id","east_id","west","east"
2722,114,20200907,9,0.334620334620335,2080,40000,17500,1,112,17.8363365015541,58.1419958432687,5,150,-136.372007490789,-61.2162671184014
2723,114,20200907,10,0.357303732303732,2221,40000,12500,1,112,18.2294228147771,58.1404360350391,5,150,-136.018928374759,-59.7076578866761
2724,114,20200907,11,0.361164736164736,2245,40000,17500,1,112,18.7907407495059,58.1404360350391,5,150,-136.427036211249,-64.258038432269
2725,114,20200907,12,0.348938223938224,2169,40000,17500,1,112,18.1144103611382,58.1282700043466,6,150,-135.770620354883,-63.8450905155621
2726,114,20200907,13,0.347007722007722,2157,40000,17500,1,112,18.7447255391884,58.1376284601851,5,147,-135.958793100976,-65.3890082229468
2727,114,20200907,14,0.34041184041184,2116,40000,17500,1,112,17.9650781271946,58.1048740166832,4,150,-136.298120757181,-62.873207164314
2728,114,20200907,15,0.324002574002574,2014,37500,17500,1,112,17.9036260223231,57.8050957654875,4,150,-136.298120757181,-63.5088735377825
2729,114,20200907,16,0.323198198198198,2009,40000,17500,1,112,18.6006426753887,58.1376284601851,4,150,-136.453552937308,-61.725015485792
2730,114,20200907,17,0.332528957528958,2067,40000,17500,1,112,18.6994757538918,58.1335731172927,3,150,-136.767841331097,-59.5379789043376
2731,114,20200907,18,0.336068211068211,2089,40000,17500,1,112,18.6442572414306,58.1335731172927,3,150,-136.634222850627,-58.7479376159111
2732,114,20200907,19,0.318371943371943,1979,40000,17500,1,112,18.2294228147771,58.1335731172927,3,150,-136.790131954212,-58.7479376159111
2733,114,20200907,20,0.341859716859717,2125,40000,17500,1,112,18.0554209843524,58.1335731172927,3,148,-136.610122426534,-60.5423353163583
2734,114,20200907,21,0.350225225225225,2177,40000,17500,1,112,18.1667631878874,58.1376284601851,8,150,-134.921030042564,-59.6043102875995
2735,114,20200907,22,0.368404118404118,2290,40000,17500,1,112,18.0554209843524,58.0487261219159,5,149,-134.905165034068,-59.1227377386665
2736,114,20200907,23,0.303088803088803,1884,35000,17500,1,112,17.9714391696666,58.0768009230066,6,149,-134.860804492435,-60.0212331637959
